station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging,eightd_has_key_dispenser,eightd_station_services,has_kiosk
65,0b10609d-08f3-11e7-a1cb-3863bb33a4e4,2e avenue / Jean-Rivard,6068,45.562509038048915,-73.61656039953232,"['CREDITCARD', 'KEY']",31,False,False,False,,True
67,0b1062ad-08f3-11e7-a1cb-3863bb33a4e4,University / Milton,6070,45.506511175399844,-73.57666924595833,"['CREDITCARD', 'KEY']",47,False,False,False,,True
68,0b1063c4-08f3-11e7-a1cb-3863bb33a4e4,de Maisonneuve / Aylmer (ouest),6073,45.505173440423306,-73.5706517100334,"['CREDITCARD', 'KEY']",37,False,False,False,,True
69,0b1064d3-08f3-11e7-a1cb-3863bb33a4e4,de Ville-Marie / Ste-Catherine,6076,45.557970682228145,-73.5291700065136,"['CREDITCARD', 'KEY']",15,False,False,False,,True
71,0b10680e-08f3-11e7-a1cb-3863bb33a4e4,St-Alexandre / Ste-Catherine,6078,45.50527354034462,-73.5674786567688,"['CREDITCARD', 'KEY']",27,False,False,False,,True
72,0b106932-08f3-11e7-a1cb-3863bb33a4e4,Métro Vendôme (de Marlowe / de Maisonneuve),6080,45.47393028235147,-73.60473453998564,"['CREDITCARD', 'KEY']",31,False,False,False,,True
73,0b106b02-08f3-11e7-a1cb-3863bb33a4e4,Mackay / Ste-Catherine,6081,45.49582294706495,-73.57696294784546,"['CREDITCARD', 'KEY']",31,False,False,False,,True
74,0b106c33-08f3-11e7-a1cb-3863bb33a4e4,5e avenue / Rosemont,6082,45.54990048023633,-73.58308374881744,"['CREDITCARD', 'KEY']",19,False,False,False,,True
75,0b106d46-08f3-11e7-a1cb-3863bb33a4e4,Aylmer / Ste-Catherine,6083,45.50434678685089,-73.56894850730896,"['CREDITCARD', 'KEY']",47,False,False,False,,True
76,0b106e5d-08f3-11e7-a1cb-3863bb33a4e4,Duke / Brennan,6084,45.495581350533946,-73.55371087789534,"['CREDITCARD', 'KEY']",27,False,False,False,,True
77,0b106f9a-08f3-11e7-a1cb-3863bb33a4e4,Notre-Dame / Jean-d'Estrées,6085,45.49428921452628,-73.56380335986614,"['CREDITCARD', 'KEY']",47,False,False,False,,True
78,0b1070e3-08f3-11e7-a1cb-3863bb33a4e4,Henri-Julien / du Carmel,6089,45.52795093787009,-73.59502326697111,"['CREDITCARD', 'KEY']",23,False,False,False,,True
79,0b107204-08f3-11e7-a1cb-3863bb33a4e4,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),6090,45.49487159597493,-73.57112377882004,"['CREDITCARD', 'KEY']",17,False,False,False,,True
80,0b107323-08f3-11e7-a1cb-3863bb33a4e4,Joseph-Manseau / René-Lévesque,6091,45.491686521008035,-73.57676714658737,"['CREDITCARD', 'KEY']",19,False,False,False,,True
81,0b107432-08f3-11e7-a1cb-3863bb33a4e4,Crescent / René-Lévesque,6092,45.49600732302391,-73.57334746981905,"['CREDITCARD', 'KEY']",31,False,False,False,,True
82,0b10753d-08f3-11e7-a1cb-3863bb33a4e4,Métro Beaubien (de Chateaubriand / Beaubien),6912,45.5353599615622,-73.60363483428955,"['CREDITCARD', 'KEY']",23,False,False,False,,True
83,0b10765d-08f3-11e7-a1cb-3863bb33a4e4,Métro Atwater (Atwater / Ste-Catherine),6194,45.48952522221574,-73.5844581949641,"['CREDITCARD', 'KEY']",35,False,False,False,,True
84,0b107771-08f3-11e7-a1cb-3863bb33a4e4,Chomedey / de Maisonneuve,6095,45.491750449903954,-73.58394473791122,"['CREDITCARD', 'KEY']",19,False,False,False,,True
85,0b10787d-08f3-11e7-a1cb-3863bb33a4e4,Lucien L'Allier / St-Jacques,6096,45.49325704729831,-73.56808215379715,"['CREDITCARD', 'KEY']",23,False,False,False,,True
86,0b107988-08f3-11e7-a1cb-3863bb33a4e4,St-Marc / Ste-Catherine,6097,45.49285655460094,-73.58065430100396,"['CREDITCARD', 'KEY']",31,False,False,False,,True
87,0b1081d2-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / Bishop,6098,45.49663668261945,-73.57612865511328,"['CREDITCARD', 'KEY']",27,False,False,False,,True
88,0b10834a-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / Labelle,6099,45.51473288454674,-73.55961576104164,"['CREDITCARD', 'KEY']",31,False,False,False,,True
89,0b108464-08f3-11e7-a1cb-3863bb33a4e4,Mackay / de Maisonneuve,6100,45.49682986230046,-73.57913017272949,"['CREDITCARD', 'KEY']",35,False,False,False,,True
90,0b108588-08f3-11e7-a1cb-3863bb33a4e4,Métro Villa-Maria (de Monkland / Décarie),6101,45.4789683985657,-73.61959934234618,"['CREDITCARD', 'KEY']",26,False,False,False,,True
91,0b1086a7-08f3-11e7-a1cb-3863bb33a4e4,Lincoln / du Fort,6102,45.493245802758366,-73.58368472341681,"['CREDITCARD', 'KEY']",15,False,False,False,,True
92,0b1087c4-08f3-11e7-a1cb-3863bb33a4e4,de Rouen / Lespérance,6103,45.53862710657643,-73.55283915996552,"['CREDITCARD', 'KEY']",27,False,False,False,,True
93,0b1088f0-08f3-11e7-a1cb-3863bb33a4e4,Wolfe / de la Gauchetière,6104,45.51622236316333,-73.55297327041626,"['CREDITCARD', 'KEY']",27,False,False,False,,True
94,0b108a09-08f3-11e7-a1cb-3863bb33a4e4,Plessis / René-Lévesque,6105,45.51937252291976,-73.55195805430411,"['CREDITCARD', 'KEY']",19,False,False,False,,True
95,0b108b24-08f3-11e7-a1cb-3863bb33a4e4,René-Lévesque / Papineau,6106,45.521052325434745,-73.54986727237701,"['CREDITCARD', 'KEY']",25,False,False,False,,True
96,0b1091b6-08f3-11e7-a1cb-3863bb33a4e4,St-Mathieu / Baile,6107,45.49289039867385,-73.57761260132973,"['CREDITCARD', 'KEY']",23,False,False,False,,True
